Provider_ID,Hospital Name,City,State,Measure Name,Measure Response
330163,EASTERN NIAGARA HOSPITAL,LOCKPORT,NY,Able to receive lab results electronically,Yes
330140,ST JOSEPH'S HOSPITAL HEALTH CENTER,SYRACUSE,NY,Safe surgery checklist use (outpatient),Yes
330166,"WESTFIELD MEMORIAL HOSPITAL, INC",WESTFIELD,NY,General Surgery Registry,N
330101,NEW YORK-PRESBYTERIAN HOSPITAL,NEW YORK,NY,Safe surgery checklist use (outpatient),Yes
330108,"ST JOSEPH'S HOSPITAL, INC",ELMIRA,NY,Safe surgery checklist use (inpatient),Y
330102,KENMORE MERCY HOSPITAL,KENMORE,NY,Able to receive lab results electronically,Yes
330119,LENOX HILL HOSPITAL,NEW YORK,NY,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,Able to receive lab results electronically,Yes
10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,"Able to track patients’ lab results, tests, and referrals electronically between visits",Yes
10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,Safe surgery checklist use (outpatient),Yes
10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,Patient Safety Culture,N
10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,General Surgery Registry,N
10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,Nursing care registry,N
10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,Safe surgery checklist use (inpatient),Y
330111,BERTRAND CHAFFEE HOSPITAL,SPRINGVILLE,NY,Safe surgery checklist use (outpatient),Yes
330204,BELLEVUE HOSPITAL CENTER,NEW YORK,NY,Nursing care registry,Y
330180,SAMARITAN HOSPITAL,TROY,NY,Safe surgery checklist use (inpatient),Y
330164,HIGHLAND HOSPITAL,ROCHESTER,NY,Safe surgery checklist use (outpatient),Yes
330080,LINCOLN MEDICAL & MENTAL HEALTH CENTER,BRONX,NY,Patient Safety Culture,Y
330204,BELLEVUE HOSPITAL CENTER,NEW YORK,NY,General Surgery Registry,N
