Provider_ID,Condition,Measure Name,Score,Sample
220065,Emergency Department,Head CT results,60.0,20.0
220030,Emergency Department,Head CT results,84.0,19.0
220066,Emergency Department,Head CT results,86.0,14.0
220052,Emergency Department,Median time to pain med,51.0,134.0
220031,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,99.0,72.0
220065,Heart Attack or Chest Pain,Median Time to ECG,7.0,72.0
220063,Preventive Care,Healthcare workers given influenza vaccination,97.0,6160.0
220058,Preventive Care,Immunization for influenza,83.0,274.0
220024,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,100.0,425.0
220046,Emergency Department,Head CT results,89.0,19.0
220071,Cancer care,External Beam Radiotherapy for Bone Metastases,80.0,100.0
220063,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",4.0,56.0
220031,Emergency Department,Left before being seen,1.0,106913.0
220031,Emergency Department,Door to diagnostic eval,70.0,314.0
220024,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,94.0,356.0
220036,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,94.0,109.0
10005,Emergency Department,ED1,244.0,1250.0
10005,Emergency Department,ED2,74.0,1147.0
10005,Preventive Care,Immunization for influenza,98.0,928.0
10005,Preventive Care,Healthcare workers given influenza vaccination,80.0,1643.0
10005,Emergency Department,OP 18,114.0,1456.0
10005,Emergency Department,Door to diagnostic eval,23.0,1523.0
10005,Emergency Department,Median time to pain med,71.0,527.0
10005,Emergency Department,Left before being seen,2.0,71472.0
10005,Emergency Department,Head CT results,82.0,11.0
10005,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,79.0,275.0
220084,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,99.0,67.0
10005,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,97.0,396.0
10005,Cancer care,External Beam Radiotherapy for Bone Metastases,100.0,14.0
10005,Heart Attack or Chest Pain,Aspirin at Arrival,97.0,266.0
10005,Heart Attack or Chest Pain,Median Time to ECG,13.0,281.0
10005,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",2.0,180.0
10005,Blood Clot Prevention and Treatment,Hospital acquired potentially preventable venous thromboembolism,0.0,11.0
220073,Emergency Department,Left before being seen,1.0,51886.0
220024,Emergency Department,ED1,397.0,1052.0
220065,Emergency Department,Door to diagnostic eval,20.0,384.0
220060,Emergency Department,Door to diagnostic eval,25.0,410.0
220058,Emergency Department,Left before being seen,1.0,13870.0
220033,Emergency Department,ED1,394.0,3274.0
220126,Emergency Department,Median time to pain med,41.0,134.0
220033,Heart Attack or Chest Pain,Median Time to Transfer to Another Facility for Acute Coronary Intervention,60.0,15.0
220074,Preventive Care,Healthcare workers given influenza vaccination,90.0,6337.0
220071,Emergency Department,Left before being seen,2.0,110741.0
220035,Emergency Department,Left before being seen,4.0,77595.0
220058,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,29.0,72.0
220052,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,89.0,55.0
220052,Emergency Department,OP 18,223.0,358.0
220074,Emergency Department,ED2,78.0,799.0
220074,Emergency Department,Median time to pain med,50.0,214.0
220065,Heart Attack or Chest Pain,Aspirin at Arrival,100.0,70.0
220031,Cancer care,External Beam Radiotherapy for Bone Metastases,91.0,11.0
220049,Emergency Department,Median time to pain med,46.0,95.0
220020,Emergency Department,Door to diagnostic eval,38.0,375.0
220035,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,94.0,135.0
220058,Preventive Care,Healthcare workers given influenza vaccination,92.0,331.0
220100,Emergency Department,Left before being seen,1.0,97907.0
220029,Emergency Department,Left before being seen,2.0,23601.0
220020,Emergency Department,Head CT results,55.0,11.0
220029,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,97.0,78.0
220052,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",0.0,63.0
220024,Emergency Department,ED2,189.0,1052.0
220058,Emergency Department,ED2,62.0,346.0
220074,Preventive Care,Immunization for influenza,92.0,515.0
220080,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,98.0,104.0
220074,Blood Clot Prevention and Treatment,Hospital acquired potentially preventable venous thromboembolism,0.0,27.0
220060,Emergency Department,ED2,115.0,861.0
220108,Emergency Department,Door to diagnostic eval,26.0,385.0
220024,Emergency Department,Median time to pain med,30.0,59.0
220049,Emergency Department,Head CT results,64.0,11.0
220033,Emergency Department,ED2,201.0,3273.0
220077,Cancer care,External Beam Radiotherapy for Bone Metastases,100.0,34.0
220080,Emergency Department,Left before being seen,2.0,74684.0
220070,Heart Attack or Chest Pain,Median Time to ECG,7.0,67.0
220049,Emergency Department,OP 18,162.0,337.0
220065,Preventive Care,Healthcare workers given influenza vaccination,95.0,1142.0
220110,Emergency Department,OP 18,247.0,343.0
220049,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,72.0,47.0
220046,Heart Attack or Chest Pain,Median Time to ECG,6.0,250.0
220060,Emergency Department,OP 18,193.0,349.0
220066,Heart Attack or Chest Pain,Median Time to ECG,6.0,89.0
220033,Emergency Department,Left before being seen,2.0,61224.0
220046,Preventive Care,Healthcare workers given influenza vaccination,92.0,4127.0
220052,Heart Attack or Chest Pain,Median Time to ECG,5.0,33.0
220098,Heart Attack or Chest Pain,Median Time to ECG,2.0,101.0
220052,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,96.0,74.0
220035,Emergency Department,ED2,172.0,829.0
220074,Emergency Department,ED1,268.0,800.0
220108,Emergency Department,Median time to pain med,55.0,169.0
220073,Emergency Department,Median time to pain med,43.0,98.0
220066,Heart Attack or Chest Pain,Aspirin at Arrival,99.0,84.0
220073,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",0.0,35.0
220033,Emergency Department,Head CT results,54.0,26.0
220065,Preventive Care,Immunization for influenza,96.0,379.0
220062,Preventive Care,Healthcare workers given influenza vaccination,91.0,566.0
220077,Emergency Department,Door to diagnostic eval,40.0,394.0
10012,Emergency Department,ED1,214.0,422.0
10012,Emergency Department,ED2,61.0,422.0
10012,Preventive Care,Immunization for influenza,99.0,331.0
10012,Preventive Care,Healthcare workers given influenza vaccination,85.0,803.0
10012,Emergency Department,OP 18,132.0,402.0
10012,Emergency Department,Door to diagnostic eval,32.0,428.0
10012,Emergency Department,Median time to pain med,58.0,187.0
10012,Emergency Department,Left before being seen,3.0,25021.0
10012,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,100.0,128.0
10012,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,100.0,72.0
420086,Emergency Department,Door to diagnostic eval,36.0,481.0
10012,Heart Attack or Chest Pain,Aspirin at Arrival,100.0,66.0
10012,Heart Attack or Chest Pain,Median Time to ECG,1.0,68.0
10012,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",6.0,49.0
220071,Emergency Department,Door to diagnostic eval,28.0,390.0
220075,Preventive Care,Immunization for influenza,97.0,328.0
220074,Emergency Department,Door to diagnostic eval,30.0,501.0
220020,Emergency Department,OP 18,146.0,319.0
220020,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,99.0,108.0
220077,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,96.0,109.0
220073,Heart Attack or Chest Pain,Median Time to ECG,7.0,67.0
220071,Emergency Department,Median time to pain med,57.0,131.0
220060,Preventive Care,Immunization for influenza,99.0,545.0
220052,Emergency Department,Left before being seen,4.0,62953.0
220070,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",0.0,62.0
220058,Emergency Department,ED1,244.0,346.0
220029,Heart Attack or Chest Pain,Median Time to ECG,10.0,83.0
220024,Preventive Care,Healthcare workers given influenza vaccination,77.0,1712.0
220058,Heart Attack or Chest Pain,Aspirin at Arrival,88.0,42.0
220020,Preventive Care,Healthcare workers given influenza vaccination,90.0,2799.0
220035,Emergency Department,Door to diagnostic eval,53.0,370.0
220066,Emergency Department,OP 18,155.0,359.0
220049,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,99.0,72.0
220075,Emergency Department,Door to diagnostic eval,71.0,440.0
220031,Emergency Department,ED1,362.0,696.0
220052,Emergency Department,ED2,225.0,975.0
220071,Emergency Department,ED1,608.0,491.0
220031,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",4.0,82.0
220063,Emergency Department,ED2,214.0,798.0
220052,Emergency Department,Door to diagnostic eval,37.0,396.0
220100,Preventive Care,Healthcare workers given influenza vaccination,97.0,6490.0
220036,Emergency Department,ED2,155.0,398.0
420072,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,0.0,76.0
220046,Emergency Department,Left before being seen,2.0,69613.0
220060,Cancer care,External Beam Radiotherapy for Bone Metastases,100.0,24.0
220066,Preventive Care,Immunization for influenza,99.0,536.0
220073,Preventive Care,Healthcare workers given influenza vaccination,92.0,1349.0
220029,Emergency Department,ED1,306.0,758.0
220035,Blood Clot Prevention and Treatment,Hospital acquired potentially preventable venous thromboembolism,0.0,22.0
220075,Emergency Department,Left before being seen,1.0,20335.0
220086,Blood Clot Prevention and Treatment,Hospital acquired potentially preventable venous thromboembolism,0.0,292.0
220080,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",1.0,136.0
220049,Emergency Department,Left before being seen,1.0,26657.0
220063,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,77.0,95.0
220049,Preventive Care,Healthcare workers given influenza vaccination,95.0,832.0
220024,Heart Attack or Chest Pain,Aspirin at Arrival,99.0,79.0
220030,Emergency Department,Median time to pain med,47.0,108.0
220080,Heart Attack or Chest Pain,Median Time to ECG,6.0,56.0
220030,Preventive Care,Immunization for influenza,95.0,294.0
220020,Heart Attack or Chest Pain,Aspirin at Arrival,100.0,24.0
220030,Heart Attack or Chest Pain,Aspirin at Arrival,95.0,103.0
220033,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,90.0,84.0
220071,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,97.0,108.0
220176,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",1.0,103.0
220110,Emergency Department,Door to diagnostic eval,24.0,380.0
220070,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,100.0,13.0
220083,Emergency Department,Head CT results,71.0,21.0
220080,Emergency Department,Median time to pain med,42.0,181.0
220070,Preventive Care,Immunization for influenza,100.0,584.0
