Provider_ID,Hospital_Name,State,AvgSpendPerEpHosp,Claim_DurableMedicalEquip,Claim_HomeHealthAg,Claim_Type_Hospice,Claim_Type_Inpatient,Claim_Type_Outpatient,Claim_SkilledNursFaclty,Claim_Type_Total
10001,SOUTHEAST ALABAMA MEDICAL CENTER,AL,1067.3333333333333,0,0,0,0,0,0,0
10001,SOUTHEAST ALABAMA MEDICAL CENTER,AL,40.0,1,0,0,0,0,0,0
10001,SOUTHEAST ALABAMA MEDICAL CENTER,AL,319.3333333333333,0,1,0,0,0,0,0
10001,SOUTHEAST ALABAMA MEDICAL CENTER,AL,49.333333333333336,0,0,1,0,0,0,0
10001,SOUTHEAST ALABAMA MEDICAL CENTER,AL,4470.666666666667,0,0,0,1,0,0,0
10001,SOUTHEAST ALABAMA MEDICAL CENTER,AL,254.66666666666666,0,0,0,0,1,0,0
10001,SOUTHEAST ALABAMA MEDICAL CENTER,AL,701.6666666666666,0,0,0,0,0,1,0
10001,SOUTHEAST ALABAMA MEDICAL CENTER,AL,20711.0,0,0,0,0,0,0,1
10005,MARSHALL MEDICAL CENTERS,AL,718.3333333333334,0,0,0,0,0,0,0
10005,MARSHALL MEDICAL CENTERS,AL,40.0,1,0,0,0,0,0,0
10005,MARSHALL MEDICAL CENTERS,AL,323.6666666666667,0,1,0,0,0,0,0
10005,MARSHALL MEDICAL CENTERS,AL,83.33333333333333,0,0,1,0,0,0,0
10005,MARSHALL MEDICAL CENTERS,AL,3134.3333333333335,0,0,0,1,0,0,0
10005,MARSHALL MEDICAL CENTERS,AL,243.33333333333334,0,0,0,0,1,0,0
10005,MARSHALL MEDICAL CENTERS,AL,1073.0,0,0,0,0,0,1,0
10005,MARSHALL MEDICAL CENTERS,AL,16849.0,0,0,0,0,0,0,1
10006,ELIZA COFFEE MEMORIAL HOSPITAL,AL,973.3333333333334,0,0,0,0,0,0,0
10006,ELIZA COFFEE MEMORIAL HOSPITAL,AL,29.333333333333332,1,0,0,0,0,0,0
10006,ELIZA COFFEE MEMORIAL HOSPITAL,AL,295.0,0,1,0,0,0,0,0
10006,ELIZA COFFEE MEMORIAL HOSPITAL,AL,52.666666666666664,0,0,1,0,0,0,0
10006,ELIZA COFFEE MEMORIAL HOSPITAL,AL,4024.0,0,0,0,1,0,0,0
10006,ELIZA COFFEE MEMORIAL HOSPITAL,AL,182.66666666666666,0,0,0,0,1,0,0
10006,ELIZA COFFEE MEMORIAL HOSPITAL,AL,960.0,0,0,0,0,0,1,0
10006,ELIZA COFFEE MEMORIAL HOSPITAL,AL,19553.0,0,0,0,0,0,0,1
10007,MIZELL MEMORIAL HOSPITAL,AL,641.0,0,0,0,0,0,0,0
10007,MIZELL MEMORIAL HOSPITAL,AL,23.333333333333332,1,0,0,0,0,0,0
10007,MIZELL MEMORIAL HOSPITAL,AL,340.3333333333333,0,1,0,0,0,0,0
10007,MIZELL MEMORIAL HOSPITAL,AL,38.666666666666664,0,0,1,0,0,0,0
10007,MIZELL MEMORIAL HOSPITAL,AL,2577.6666666666665,0,0,0,1,0,0,0
10007,MIZELL MEMORIAL HOSPITAL,AL,136.0,0,0,0,0,1,0,0
10007,MIZELL MEMORIAL HOSPITAL,AL,1542.6666666666667,0,0,0,0,0,1,0
10007,MIZELL MEMORIAL HOSPITAL,AL,15899.0,0,0,0,0,0,0,1
10008,CRENSHAW COMMUNITY HOSPITAL,AL,503.0,0,0,0,0,0,0,0
10008,CRENSHAW COMMUNITY HOSPITAL,AL,23.0,1,0,0,0,0,0,0
10008,CRENSHAW COMMUNITY HOSPITAL,AL,202.33333333333334,0,1,0,0,0,0,0
10008,CRENSHAW COMMUNITY HOSPITAL,AL,65.66666666666667,0,0,1,0,0,0,0
10008,CRENSHAW COMMUNITY HOSPITAL,AL,1899.3333333333333,0,0,0,1,0,0,0
10008,CRENSHAW COMMUNITY HOSPITAL,AL,172.33333333333334,0,0,0,0,1,0,0
10008,CRENSHAW COMMUNITY HOSPITAL,AL,1219.0,0,0,0,0,0,1,0
10008,CRENSHAW COMMUNITY HOSPITAL,AL,12254.0,0,0,0,0,0,0,1
10011,ST. VINCENT'S EAST,AL,1087.6666666666667,0,0,0,0,0,0,0
10011,ST. VINCENT'S EAST,AL,30.666666666666668,1,0,0,0,0,0,0
10011,ST. VINCENT'S EAST,AL,276.3333333333333,0,1,0,0,0,0,0
10011,ST. VINCENT'S EAST,AL,57.666666666666664,0,0,1,0,0,0,0
10011,ST. VINCENT'S EAST,AL,4111.333333333333,0,0,0,1,0,0,0
10011,ST. VINCENT'S EAST,AL,181.66666666666666,0,0,0,0,1,0,0
10011,ST. VINCENT'S EAST,AL,800.0,0,0,0,0,0,1,0
10011,ST. VINCENT'S EAST,AL,19636.0,0,0,0,0,0,0,1
10012,DEKALB REGIONAL MEDICAL CENTER,AL,679.3333333333334,0,0,0,0,0,0,0
10012,DEKALB REGIONAL MEDICAL CENTER,AL,30.333333333333332,1,0,0,0,0,0,0
10012,DEKALB REGIONAL MEDICAL CENTER,AL,218.66666666666666,0,1,0,0,0,0,0
10012,DEKALB REGIONAL MEDICAL CENTER,AL,84.66666666666667,0,0,1,0,0,0,0
10012,DEKALB REGIONAL MEDICAL CENTER,AL,2987.3333333333335,0,0,0,1,0,0,0
10012,DEKALB REGIONAL MEDICAL CENTER,AL,156.33333333333334,0,0,0,0,1,0,0
10012,DEKALB REGIONAL MEDICAL CENTER,AL,881.6666666666666,0,0,0,0,0,1,0
10012,DEKALB REGIONAL MEDICAL CENTER,AL,15112.0,0,0,0,0,0,0,1
10016,SHELBY BAPTIST MEDICAL CENTER,AL,1108.6666666666667,0,0,0,0,0,0,0
10016,SHELBY BAPTIST MEDICAL CENTER,AL,35.0,1,0,0,0,0,0,0
10016,SHELBY BAPTIST MEDICAL CENTER,AL,356.6666666666667,0,1,0,0,0,0,0
10016,SHELBY BAPTIST MEDICAL CENTER,AL,74.66666666666667,0,0,1,0,0,0,0
10016,SHELBY BAPTIST MEDICAL CENTER,AL,4143.0,0,0,0,1,0,0,0
10016,SHELBY BAPTIST MEDICAL CENTER,AL,166.66666666666666,0,0,0,0,1,0,0
10016,SHELBY BAPTIST MEDICAL CENTER,AL,781.0,0,0,0,0,0,1,0
10016,SHELBY BAPTIST MEDICAL CENTER,AL,19997.0,0,0,0,0,0,0,1
10018,CALLAHAN EYE HOSPITAL,AL,784.0,0,0,0,0,0,0,0
10018,CALLAHAN EYE HOSPITAL,AL,2.0,1,0,0,0,0,0,0
10018,CALLAHAN EYE HOSPITAL,AL,0.0,0,1,0,0,0,0,0
10018,CALLAHAN EYE HOSPITAL,AL,0.0,0,0,1,0,0,0,0
10018,CALLAHAN EYE HOSPITAL,AL,3424.6666666666665,0,0,0,1,0,0,0
10018,CALLAHAN EYE HOSPITAL,AL,403.3333333333333,0,0,0,0,1,0,0
