State,Children_in_poverty,Adult_smoking,Income,Num_of_Providers,AvgSpendPerEpHosp,Pop_over_all,Poverty_overall,Degree_or_higher,TaxRate,Median_house_V,TotalDischrg,AvgMedicarePay
Mississippi,0.307,0.23,39665.0,58,1499.510971786834,2988726,1213744,819782,0.014467046325609753,82298.11951219513,93223,7124.175751037359
New Mexico,0.28,0.191,44963.0,29,1452.0987460815045,2081015,780919,732476,0.014490006766666662,113684.70303030303,26925,8300.111439476545
Louisiana,0.28,0.24,45047.0,63,1580.9711399711405,4681666,1823939,1407750,0.02217090117343751,94176.45,109876,7387.704625041281
Alabama,0.27399999999999997,0.21100000000000002,43623.0,83,1462.5027382256299,4863300,814190,783076,0.01070418800597015,97627.32835820896,142704,6418.007119669867
South Carolina,0.264,0.215,45483.0,54,1621.388888888889,4961119,1479149,1730114,0.017593947080434786,111615.56739130436,121393,7876.33152441167
Georgia,0.263,0.174,49620.0,166,1777.0936473165386,10310371,3224736,3876180,0.02117147911194969,108771.96163522011,191242,7667.581549919492
Arkansas,0.263,0.247,41371.0,44,1608.9390495867772,2988248,994772,848892,0.012493557117333328,80051.0933333333,86769,6919.720832123854
Tennessee,0.259,0.242,45219.0,90,1686.1964646464644,6651194,2047650,2244832,0.01640163310210526,107275.6305263158,189065,6946.489304222644
Kentucky,0.259,0.262,43740.0,51,1672.300356506239,4436974,1565552,1348330,0.010980768267499998,93617.70083333332,152572,7185.227810467647
Arizona,0.256,0.165,50255.0,61,1723.3673621460507,6931071,2214307,2482850,0.027085902866666674,127114.88,104604,8825.717239565045
West Virginia,0.25,0.267,41751.0,29,1594.242946708464,1831102,636739,507412,0.01305469405636364,89786.03272727273,64968,6900.852548772811
Texas,0.245,0.145,53207.0,287,1864.7686094393416,27862596,8522584,9601354,0.036064497629527584,76463.8188976378,479939,7970.430797370104
Florida,0.242,0.17600000000000002,47507.0,6,1811.151515151515,20612439,5972469,7859592,0.02120407420447761,124561.88656716418,536859,7667.478694755685
North Carolina,0.24100000000000002,0.191,46868.0,83,1614.3696604600223,10146788,3046066,3880870,0.016998255391,126515.02999999994,257312,7998.649702439984
