Provider_ID,Hospital_Name,State,Claim_Type,AvgSpendPerEpHosp
10001,SOUTHEAST ALABAMA MEDICAL CENTER,AL,Carrier,1067.3333333333333
10001,SOUTHEAST ALABAMA MEDICAL CENTER,AL,Durable Medical Equipment,40.0
10001,SOUTHEAST ALABAMA MEDICAL CENTER,AL,Home Health Agency,319.3333333333333
10001,SOUTHEAST ALABAMA MEDICAL CENTER,AL,Hospice,49.333333333333336
10001,SOUTHEAST ALABAMA MEDICAL CENTER,AL,Inpatient,4470.666666666667
10001,SOUTHEAST ALABAMA MEDICAL CENTER,AL,Outpatient,254.66666666666666
10001,SOUTHEAST ALABAMA MEDICAL CENTER,AL,Skilled Nursing Facility,701.6666666666666
10001,SOUTHEAST ALABAMA MEDICAL CENTER,AL,Total,20711.0
10005,MARSHALL MEDICAL CENTERS,AL,Carrier,718.3333333333334
10005,MARSHALL MEDICAL CENTERS,AL,Durable Medical Equipment,40.0
10005,MARSHALL MEDICAL CENTERS,AL,Home Health Agency,323.6666666666667
10005,MARSHALL MEDICAL CENTERS,AL,Hospice,83.33333333333333
10005,MARSHALL MEDICAL CENTERS,AL,Inpatient,3134.3333333333335
10005,MARSHALL MEDICAL CENTERS,AL,Outpatient,243.33333333333334
10005,MARSHALL MEDICAL CENTERS,AL,Skilled Nursing Facility,1073.0
10005,MARSHALL MEDICAL CENTERS,AL,Total,16849.0
10006,ELIZA COFFEE MEMORIAL HOSPITAL,AL,Carrier,973.3333333333334
10006,ELIZA COFFEE MEMORIAL HOSPITAL,AL,Durable Medical Equipment,29.333333333333332
10006,ELIZA COFFEE MEMORIAL HOSPITAL,AL,Home Health Agency,295.0
10006,ELIZA COFFEE MEMORIAL HOSPITAL,AL,Hospice,52.666666666666664
10006,ELIZA COFFEE MEMORIAL HOSPITAL,AL,Inpatient,4024.0
10006,ELIZA COFFEE MEMORIAL HOSPITAL,AL,Outpatient,182.66666666666666
10006,ELIZA COFFEE MEMORIAL HOSPITAL,AL,Skilled Nursing Facility,960.0
10006,ELIZA COFFEE MEMORIAL HOSPITAL,AL,Total,19553.0
10007,MIZELL MEMORIAL HOSPITAL,AL,Carrier,641.0
