Provider_ID,Hospital_Name,State,Period,AvgSpendPerEpHosp
10001,SOUTHEAST ALABAMA MEDICAL CENTER,AL,1 through 30 days After Discharge from Index Hospital Admission,1205.5714285714287
10001,SOUTHEAST ALABAMA MEDICAL CENTER,AL,1 to 3 days Prior to Index Hospital Admission,99.42857142857143
10001,SOUTHEAST ALABAMA MEDICAL CENTER,AL,Complete Episode,20711.0
10001,SOUTHEAST ALABAMA MEDICAL CENTER,AL,During Index Hospital Admission,1653.4285714285713
10005,MARSHALL MEDICAL CENTERS,AL,1 through 30 days After Discharge from Index Hospital Admission,1115.0
10005,MARSHALL MEDICAL CENTERS,AL,1 to 3 days Prior to Index Hospital Admission,77.42857142857143
10005,MARSHALL MEDICAL CENTERS,AL,Complete Episode,16849.0
10005,MARSHALL MEDICAL CENTERS,AL,During Index Hospital Admission,1214.4285714285713
10006,ELIZA COFFEE MEMORIAL HOSPITAL,AL,1 through 30 days After Discharge from Index Hospital Admission,1178.142857142857
10006,ELIZA COFFEE MEMORIAL HOSPITAL,AL,1 to 3 days Prior to Index Hospital Admission,86.57142857142857
10006,ELIZA COFFEE MEMORIAL HOSPITAL,AL,Complete Episode,19553.0
10006,ELIZA COFFEE MEMORIAL HOSPITAL,AL,During Index Hospital Admission,1528.2857142857142
10007,MIZELL MEMORIAL HOSPITAL,AL,1 through 30 days After Discharge from Index Hospital Admission,1232.0
10007,MIZELL MEMORIAL HOSPITAL,AL,1 to 3 days Prior to Index Hospital Admission,80.28571428571429
10007,MIZELL MEMORIAL HOSPITAL,AL,Complete Episode,15899.0
10007,MIZELL MEMORIAL HOSPITAL,AL,During Index Hospital Admission,959.0
10008,CRENSHAW COMMUNITY HOSPITAL,AL,1 through 30 days After Discharge from Index Hospital Admission,900.4285714285714
10008,CRENSHAW COMMUNITY HOSPITAL,AL,1 to 3 days Prior to Index Hospital Admission,54.857142857142854
10008,CRENSHAW COMMUNITY HOSPITAL,AL,Complete Episode,12254.0
10008,CRENSHAW COMMUNITY HOSPITAL,AL,During Index Hospital Admission,795.2857142857143
10011,ST. VINCENT'S EAST,AL,1 through 30 days After Discharge from Index Hospital Admission,1169.2857142857142
10011,ST. VINCENT'S EAST,AL,1 to 3 days Prior to Index Hospital Admission,91.85714285714286
10011,ST. VINCENT'S EAST,AL,Complete Episode,19636.0
10011,ST. VINCENT'S EAST,AL,During Index Hospital Admission,1544.0
10012,DEKALB REGIONAL MEDICAL CENTER,AL,1 through 30 days After Discharge from Index Hospital Admission,977.4285714285714
10012,DEKALB REGIONAL MEDICAL CENTER,AL,1 to 3 days Prior to Index Hospital Admission,87.57142857142857
10012,DEKALB REGIONAL MEDICAL CENTER,AL,Complete Episode,15112.0
10012,DEKALB REGIONAL MEDICAL CENTER,AL,During Index Hospital Admission,1094.2857142857142
10016,SHELBY BAPTIST MEDICAL CENTER,AL,1 through 30 days After Discharge from Index Hospital Admission,1236.5714285714287
10016,SHELBY BAPTIST MEDICAL CENTER,AL,1 to 3 days Prior to Index Hospital Admission,90.85714285714286
10016,SHELBY BAPTIST MEDICAL CENTER,AL,Complete Episode,19997.0
10016,SHELBY BAPTIST MEDICAL CENTER,AL,During Index Hospital Admission,1529.2857142857142
10018,CALLAHAN EYE HOSPITAL,AL,1 through 30 days After Discharge from Index Hospital Admission,233.0
10018,CALLAHAN EYE HOSPITAL,AL,1 to 3 days Prior to Index Hospital Admission,143.57142857142858
10018,CALLAHAN EYE HOSPITAL,AL,Complete Episode,13842.0
10018,CALLAHAN EYE HOSPITAL,AL,During Index Hospital Admission,1600.857142857143
10019,HELEN KELLER HOSPITAL,AL,1 through 30 days After Discharge from Index Hospital Admission,1359.0
10019,HELEN KELLER HOSPITAL,AL,1 to 3 days Prior to Index Hospital Admission,83.42857142857143
10019,HELEN KELLER HOSPITAL,AL,Complete Episode,18818.0
10019,HELEN KELLER HOSPITAL,AL,During Index Hospital Admission,1246.0
10021,DALE MEDICAL CENTER,AL,1 through 30 days After Discharge from Index Hospital Admission,982.8571428571429
10021,DALE MEDICAL CENTER,AL,1 to 3 days Prior to Index Hospital Admission,60.0
10021,DALE MEDICAL CENTER,AL,Complete Episode,14724.0
10021,DALE MEDICAL CENTER,AL,During Index Hospital Admission,1060.4285714285713
10022,CHEROKEE MEDICAL CENTER,AL,1 through 30 days After Discharge from Index Hospital Admission,867.5714285714286
10022,CHEROKEE MEDICAL CENTER,AL,1 to 3 days Prior to Index Hospital Admission,40.57142857142857
10022,CHEROKEE MEDICAL CENTER,AL,Complete Episode,12470.0
10022,CHEROKEE MEDICAL CENTER,AL,During Index Hospital Admission,873.1428571428571
10023,BAPTIST MEDICAL CENTER SOUTH,AL,1 through 30 days After Discharge from Index Hospital Admission,1272.2857142857142
10023,BAPTIST MEDICAL CENTER SOUTH,AL,1 to 3 days Prior to Index Hospital Admission,116.28571428571429
10023,BAPTIST MEDICAL CENTER SOUTH,AL,Complete Episode,21684.0
10023,BAPTIST MEDICAL CENTER SOUTH,AL,During Index Hospital Admission,1709.2857142857142
10024,JACKSON HOSPITAL & CLINIC INC,AL,1 through 30 days After Discharge from Index Hospital Admission,1293.4285714285713
10024,JACKSON HOSPITAL & CLINIC INC,AL,1 to 3 days Prior to Index Hospital Admission,101.42857142857143
10024,JACKSON HOSPITAL & CLINIC INC,AL,Complete Episode,21590.0
10024,JACKSON HOSPITAL & CLINIC INC,AL,During Index Hospital Admission,1689.0
10029,EAST ALABAMA MEDICAL CENTER AND SNF,AL,1 through 30 days After Discharge from Index Hospital Admission,953.4285714285714
10029,EAST ALABAMA MEDICAL CENTER AND SNF,AL,1 to 3 days Prior to Index Hospital Admission,74.0
10029,EAST ALABAMA MEDICAL CENTER AND SNF,AL,Complete Episode,18122.0
10029,EAST ALABAMA MEDICAL CENTER AND SNF,AL,During Index Hospital Admission,1561.2857142857142
10032,WEDOWEE HOSPITAL,AL,1 through 30 days After Discharge from Index Hospital Admission,750.1428571428571
10032,WEDOWEE HOSPITAL,AL,1 to 3 days Prior to Index Hospital Admission,69.28571428571429
10032,WEDOWEE HOSPITAL,AL,Complete Episode,11216.0
10032,WEDOWEE HOSPITAL,AL,During Index Hospital Admission,783.0
10033,UNIVERSITY OF ALABAMA HOSPITAL,AL,1 through 30 days After Discharge from Index Hospital Admission,1194.857142857143
10033,UNIVERSITY OF ALABAMA HOSPITAL,AL,1 to 3 days Prior to Index Hospital Admission,108.71428571428571
10033,UNIVERSITY OF ALABAMA HOSPITAL,AL,Complete Episode,23386.0
10033,UNIVERSITY OF ALABAMA HOSPITAL,AL,During Index Hospital Admission,2037.2857142857142
10034,COMMUNITY HOSPITAL INC,AL,1 through 30 days After Discharge from Index Hospital Admission,998.4285714285714
10034,COMMUNITY HOSPITAL INC,AL,1 to 3 days Prior to Index Hospital Admission,49.857142857142854
10034,COMMUNITY HOSPITAL INC,AL,Complete Episode,14700.0
10034,COMMUNITY HOSPITAL INC,AL,During Index Hospital Admission,1051.7142857142858
10035,CULLMAN REGIONAL MEDICAL CENTER,AL,1 through 30 days After Discharge from Index Hospital Admission,1099.142857142857
10035,CULLMAN REGIONAL MEDICAL CENTER,AL,1 to 3 days Prior to Index Hospital Admission,78.14285714285714
10035,CULLMAN REGIONAL MEDICAL CENTER,AL,Complete Episode,17009.0
10035,CULLMAN REGIONAL MEDICAL CENTER,AL,During Index Hospital Admission,1252.4285714285713
10036,ANDALUSIA REGIONAL HOSPITAL,AL,1 through 30 days After Discharge from Index Hospital Admission,995.1428571428571
10036,ANDALUSIA REGIONAL HOSPITAL,AL,1 to 3 days Prior to Index Hospital Admission,60.285714285714285
10036,ANDALUSIA REGIONAL HOSPITAL,AL,Complete Episode,15286.0
10036,ANDALUSIA REGIONAL HOSPITAL,AL,During Index Hospital Admission,1128.142857142857
10038,STRINGFELLOW MEMORIAL HOSPITAL,AL,1 through 30 days After Discharge from Index Hospital Admission,878.2857142857143
10038,STRINGFELLOW MEMORIAL HOSPITAL,AL,1 to 3 days Prior to Index Hospital Admission,69.57142857142857
10038,STRINGFELLOW MEMORIAL HOSPITAL,AL,Complete Episode,14674.0
10038,STRINGFELLOW MEMORIAL HOSPITAL,AL,During Index Hospital Admission,1148.5714285714287
10039,HUNTSVILLE HOSPITAL,AL,1 through 30 days After Discharge from Index Hospital Admission,1157.142857142857
10039,HUNTSVILLE HOSPITAL,AL,1 to 3 days Prior to Index Hospital Admission,106.57142857142857
10039,HUNTSVILLE HOSPITAL,AL,Complete Episode,20961.0
10039,HUNTSVILLE HOSPITAL,AL,During Index Hospital Admission,1730.7142857142858
10040,GADSDEN REGIONAL MEDICAL CENTER,AL,1 through 30 days After Discharge from Index Hospital Admission,1252.142857142857
10040,GADSDEN REGIONAL MEDICAL CENTER,AL,1 to 3 days Prior to Index Hospital Admission,83.57142857142857
10040,GADSDEN REGIONAL MEDICAL CENTER,AL,Complete Episode,20494.0
