year,geo_name,geo,medicare_beneficiaries_total
2013,"California","04000US06",2351740.0
2014,"California","04000US06",2320120.0
2012,"California","04000US06",2316270.0
2011,"California","04000US06",2238140.0
2010,"California","04000US06",2197170.0
2011,"Texas","04000US48",1847530.0
2012,"Texas","04000US48",1845550.0
2014,"Florida","04000US12",1845390.0
2013,"Florida","04000US12",1840840.0
2012,"Florida","04000US12",1837380.0
2010,"Florida","04000US12",1837030.0
2011,"Florida","04000US12",1835110.0
2010,"Texas","04000US48",1806650.0
2014,"Texas","04000US48",1800620.0
2013,"Texas","04000US48",1777720.0
2012,"New York","04000US36",1471000.0
2011,"New York","04000US36",1467390.0
2010,"New York","04000US36",1466970.0
2013,"New York","04000US36",1466300.0
2014,"New York","04000US36",1454390.0
2013,"Illinois","04000US17",1349270.0
2012,"Illinois","04000US17",1331040.0
2011,"Illinois","04000US17",1311080.0
2010,"Illinois","04000US17",1287220.0
2014,"Illinois","04000US17",1229440.0
2014,"Pennsylvania","04000US42",1053820.0
2013,"Pennsylvania","04000US42",1041830.0
2012,"Pennsylvania","04000US42",1038840.0
2010,"Michigan","04000US26",1036190.0
2011,"Pennsylvania","04000US42",1020130.0
2010,"Pennsylvania","04000US42",1013960.0
2013,"North Carolina","04000US37",977275.0
2012,"North Carolina","04000US37",957228.0
2014,"New Jersey","04000US34",941608.0
2012,"Michigan","04000US26",940574.0
2013,"Michigan","04000US26",936409.0
2011,"North Carolina","04000US37",930137.0
2011,"Michigan","04000US26",928755.0
2013,"New Jersey","04000US34",913352.0
2014,"Michigan","04000US26",911646.0
2010,"Ohio","04000US39",909041.0
2012,"New Jersey","04000US34",907128.0
2011,"Ohio","04000US39",906986.0
2010,"North Carolina","04000US37",905531.0
2011,"New Jersey","04000US34",901303.0
2014,"Ohio","04000US39",897517.0
2012,"Ohio","04000US39",895682.0
2013,"Ohio","04000US39",895109.0
2010,"New Jersey","04000US34",894418.0
2014,"North Carolina","04000US37",890984.0
2014,"Virginia","04000US51",809421.0
2013,"Virginia","04000US51",807461.0
2012,"Virginia","04000US51",780798.0
2011,"Virginia","04000US51",756130.0
2014,"Georgia","04000US13",745836.0
2013,"Georgia","04000US13",736947.0
2010,"Virginia","04000US51",735612.0
2012,"Georgia","04000US13",732732.0
2011,"Georgia","04000US13",713478.0
2010,"Georgia","04000US13",700372.0
2014,"Massachusetts","04000US25",661797.0
2013,"Massachusetts","04000US25",649421.0
2014,"Indiana","04000US18",642191.0
2012,"Indiana","04000US18",637290.0
2010,"Indiana","04000US18",635171.0
2013,"Indiana","04000US18",634834.0
2011,"Indiana","04000US18",633792.0
2012,"Massachusetts","04000US25",631681.0
2011,"Massachusetts","04000US25",616330.0
2014,"Maryland","04000US24",607945.0
2010,"Massachusetts","04000US25",594032.0
2013,"Maryland","04000US24",589139.0
2014,"Washington","04000US53",588869.0
2014,"Tennessee","04000US47",585714.0
2012,"Tennessee","04000US47",584993.0
2013,"Tennessee","04000US47",584162.0
2014,"Missouri","04000US29",581575.0
2013,"Missouri","04000US29",581573.0
2012,"Missouri","04000US29",578710.0
2011,"Tennessee","04000US47",577519.0
2011,"Missouri","04000US29",575024.0
2010,"Missouri","04000US29",573291.0
2013,"Washington","04000US53",571799.0
2012,"Maryland","04000US24",570190.0
2010,"Tennessee","04000US47",569498.0
2011,"Maryland","04000US24",551847.0
2012,"Washington","04000US53",551777.0
2011,"Washington","04000US53",545956.0
2010,"Maryland","04000US24",541774.0
2014,"South Carolina","04000US45",534414.0
2010,"Washington","04000US53",533664.0
2014,"Arizona","04000US04",527898.0
2013,"South Carolina","04000US45",521628.0
2012,"South Carolina","04000US45",513647.0
2014,"Alabama","04000US01",506023.0
2013,"Arizona","04000US04",504628.0
2013,"Alabama","04000US01",498123.0
2011,"South Carolina","04000US45",497193.0
2012,"Alabama","04000US01",492195.0
2012,"Arizona","04000US04",485858.0
2013,"Wisconsin","04000US55",484902.0
2014,"Wisconsin","04000US55",483815.0
2012,"Wisconsin","04000US55",483121.0
2010,"Wisconsin","04000US55",483058.0
2010,"South Carolina","04000US45",483003.0
2011,"Wisconsin","04000US55",482995.0
2011,"Alabama","04000US01",478784.0
2010,"Alabama","04000US01",466681.0
2011,"Arizona","04000US04",465298.0
2012,"Kentucky","04000US21",452344.0
2010,"Arizona","04000US04",450724.0
2011,"Kentucky","04000US21",442087.0
2010,"Kentucky","04000US21",439590.0
2014,"Kentucky","04000US21",426884.0
2013,"Kentucky","04000US21",422619.0
2014,"Oklahoma","04000US40",405789.0
2013,"Oklahoma","04000US40",398019.0
2012,"Oklahoma","04000US40",390823.0
2011,"Oklahoma","04000US40",384898.0
2010,"Oklahoma","04000US40",380066.0
2014,"Iowa","04000US19",379326.0
2013,"Louisiana","04000US22",373014.0
2013,"Iowa","04000US19",372887.0
2014,"Louisiana","04000US22",372857.0
2012,"Louisiana","04000US22",369910.0
2012,"Iowa","04000US19",366817.0
2011,"Louisiana","04000US22",364962.0
2011,"Iowa","04000US19",361963.0
2010,"Louisiana","04000US22",359509.0
2010,"Iowa","04000US19",359222.0
2014,"Colorado","04000US08",350555.0
2010,"Connecticut","04000US09",349715.0
2011,"Connecticut","04000US09",347099.0
2014,"Connecticut","04000US09",345908.0
2012,"Connecticut","04000US09",344798.0
2013,"Connecticut","04000US09",343988.0
2013,"Colorado","04000US08",340265.0
2014,"Arkansas","04000US05",335922.0
2012,"Arkansas","04000US05",331335.0
2013,"Arkansas","04000US05",331331.0
2014,"Mississippi","04000US28",330503.0
2012,"Colorado","04000US08",328619.0
2011,"Arkansas","04000US05",327939.0
2010,"Arkansas","04000US05",325546.0
2013,"Mississippi","04000US28",324214.0
2012,"Mississippi","04000US28",321469.0
2011,"Mississippi","04000US28",317194.0
2010,"Minnesota","04000US27",317143.0
2014,"Kansas","04000US20",316321.0
2011,"Colorado","04000US08",315863.0
2010,"Mississippi","04000US28",312678.0
2013,"Kansas","04000US20",310533.0
2012,"Kansas","04000US20",306151.0
2010,"Colorado","04000US08",304355.0
2011,"Kansas","04000US20",301226.0
2010,"Kansas","04000US20",300819.0
2011,"Minnesota","04000US27",300595.0
2014,"Oregon","04000US41",293783.0
2012,"Minnesota","04000US27",290939.0
2013,"Oregon","04000US41",289151.0
2012,"Oregon","04000US41",282831.0
2013,"Minnesota","04000US27",277556.0
2011,"Oregon","04000US41",273689.0
2014,"Minnesota","04000US27",268285.0
2010,"Oregon","04000US41",260553.0
2014,"Nebraska","04000US31",211610.0
2014,"Nevada","04000US32",210790.0
2013,"Nebraska","04000US31",205925.0
2013,"West Virginia","04000US54",204275.0
2012,"West Virginia","04000US54",203307.0
2014,"West Virginia","04000US54",202846.0
2013,"Nevada","04000US32",201614.0
2012,"Nebraska","04000US31",200930.0
2011,"West Virginia","04000US54",199971.0
2010,"West Virginia","04000US54",198490.0
2011,"Nebraska","04000US31",198298.0
2010,"Nebraska","04000US31",195410.0
2012,"Nevada","04000US32",191495.0
2011,"Nevada","04000US32",183149.0
2010,"Nevada","04000US32",177717.0
2014,"New Mexico","04000US35",175685.0
2014,"New Hampshire","04000US33",175215.0
2013,"New Mexico","04000US35",172707.0
2012,"New Mexico","04000US35",171078.0
2013,"New Hampshire","04000US33",170756.0
2011,"New Mexico","04000US35",167584.0
2013,"Maine","04000US23",166797.0
2010,"New Mexico","04000US35",166293.0
2014,"Maine","04000US23",166273.0
2012,"Maine","04000US23",166167.0
2012,"New Hampshire","04000US33",165478.0
2011,"Maine","04000US23",165043.0
2010,"Maine","04000US23",164997.0
2014,"Utah","04000US49",163136.0
2013,"Utah","04000US49",156625.0
2011,"New Hampshire","04000US33",155868.0
2010,"New Hampshire","04000US33",149975.0
2012,"Utah","04000US49",144414.0
2011,"Utah","04000US49",138798.0
2014,"Idaho","04000US16",137511.0
2010,"Utah","04000US49",136778.0
2013,"Idaho","04000US16",134545.0
2012,"Idaho","04000US16",129236.0
2011,"Idaho","04000US16",126026.0
2014,"Montana","04000US30",125913.0
2014,"Delaware","04000US10",125209.0
2013,"Montana","04000US30",123966.0
2010,"Idaho","04000US16",121458.0
2013,"Delaware","04000US10",120949.0
2012,"Montana","04000US30",119004.0
2012,"Delaware","04000US10",118063.0
2011,"Montana","04000US30",115311.0
