State,True_value,Prediction
Illinois,83.8528267290425,78.90987382396392
Wisconsin,80.02597911079731,79.30612232241432
Nebraska,79.926272504708,79.4372619821547
South Dakota,86.41162078189302,90.10924819638095
Maryland,114.80121828828852,108.34371333909523
Ohio,76.61033712207649,77.32971852758014
Maine,75.90500810810822,79.4337113505533
Pennsylvania,79.19184856483817,78.00557045751103
Iowa,71.48119994232981,79.94030954893313
Kentucky,71.85227810467647,69.05604798399773
New Mexico,83.00111439476545,84.27300308694907
Nevada,87.47602828618963,78.78885551946698
Colorado,81.50931391534382,81.31867354688065
Vermont,105.46969962962964,109.63729759115105
Michigan,86.62157756043544,90.31915451621066
Arkansas,69.19720832123853,70.04684579787423
Oklahoma,72.07706055555556,75.68187168733732
Virginia,75.38847006001846,79.30934373026452
Massachusetts,92.41719323269102,93.07830960512096
Connecticut,101.04592943809058,91.33324842190866
