Provider_ID,Hospital_Name,Period,Avg_Spending_Per_Episode_Hospital,Avg_Spending_Per_Episode_State,Avg_Spending_Per_Episode_Nation,Percent_of_Spending_Hospital,Percent_of_Spending_State,Percent_of_Spending_Nation, Total Discharges , Average Covered Charges , Average Total Payments ,Average Medicare Payments,State,Measure Response,Condition,Score,Sample,Measure Name,Value,Payment measure name,Payment category,Denominator,Payment,Lower estimate,Higher estimate,Value of care display name,Value of care category,"Measure Name_x_Able to track patients’ lab results, tests, and referrals electronically between visits",Measure Name_x_General Surgery Registry,Measure Name_x_Multispecialty surgical registry,Measure Name_x_Nursing care registry,Measure Name_x_Patient Safety Culture,Measure Name_x_Safe surgery checklist use (inpatient),Measure Name_x_Safe surgery checklist use (outpatient),Measure Name_y_Door to diagnostic eval,Measure Name_y_ED1,Measure Name_y_ED2,Measure Name_y_Emergency department volume,Measure Name_y_Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,Measure Name_y_Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,Measure Name_y_External Beam Radiotherapy for Bone Metastases,Measure Name_y_Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Measure Name_y_Head CT results,Measure Name_y_Healthcare workers given influenza vaccination,Measure Name_y_Hospital acquired potentially preventable venous thromboembolism,Measure Name_y_Immunization for influenza,Measure Name_y_Improvement in Patient’s Visual Function within 90 Days Following Cataract Surgery,Measure Name_y_Left before being seen,Measure Name_y_Median Time to ECG,Measure Name_y_Median Time to Fibrinolysis,Measure Name_y_Median Time to Transfer to Another Facility for Acute Coronary Intervention,Measure Name_y_Median time to pain med,Measure Name_y_OP 18,"Measure Name_y_Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1 to 3 days Prior to Index Hospital Admission,$1,$2,$2,0.01%,0.01%,0.01%,91,$32963.07,$5777.24,$4763.73,AL,Y,Emergency Department,Not Available,Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .993364,Payment for heart failure patients,No Different than the National Average Payment,824,"$16,525","$15,754","$17,335",Value of Care Heart Failure measure,Average mortality and average payment,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10005,MARSHALL MEDICAL CENTERS,1 through 30 days After Discharge from Index Hospital Admission,$747,$1017,$1059,4.43%,5.32%,5.22%,14,$15131.85,$5787.57,$4976.71,AL,Yes,Emergency Department,244,1250,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .998265,Payment for heart attack patients,No Different than the National Average Payment,65,"$22,133","$19,674","$24,909",Value of Care Heart Attack measure,Average mortality and average payment,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10006,ELIZA COFFEE MEMORIAL HOSPITAL,During Index Hospital Admission,$0,$0,$0,0%,0%,0%,24,$37560.37,$5434.95,$4453.79,AL,N,Emergency Department,12,385,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .996683,Payment for heart failure patients,No Different than the National Average Payment,722,"$15,465","$14,730","$16,217",Value of Care Heart Failure measure,Average mortality and average payment,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007,MIZELL MEMORIAL HOSPITAL,1 to 3 days Prior to Index Hospital Admission,$462,$495,$536,2.9%,2.58%,2.64%,14,$16595.00,$6134.64,$5409.21,AL,N,Heart Attack or Chest Pain,Not Available,Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary), 1.055298,Payment for heart attack patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Value of Care Heart Attack measure,Not Available,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10008,CRENSHAW COMMUNITY HOSPITAL,1 to 3 days Prior to Index Hospital Admission,$0,$13,$11,0%,0.07%,0.05%,23,$13444.00,$5213.91,$4049.65,AL,Yes,Emergency Department,92,372,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .920221,Payment for heart failure patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Value of Care Heart Failure measure,Not Available,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10011,ST. VINCENT'S EAST,During Index Hospital Admission,$14,$23,$20,0.07%,0.12%,0.1%,25,$13998.28,$5417.56,$4129.16,AL,Yes,Cataract surgery outcome,Not Available,Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary), 1.028212,Payment for heart attack patients,No Different than the National Average Payment,229,"$23,900","$21,945","$26,022",Value of Care Heart Attack measure,Average mortality and average payment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10012,DEKALB REGIONAL MEDICAL CENTER,1 through 30 days After Discharge from Index Hospital Admission,$401,$573,$697,2.66%,3%,3.43%,14,$26139.71,$5581.28,$4690.92,AL,Yes,Emergency Department,214,422,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .974404,Payment for heart attack patients,No Different than the National Average Payment,136,"$23,368","$21,257","$25,623",Value of Care Heart Attack measure,Average mortality and average payment,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10016,SHELBY BAPTIST MEDICAL CENTER,During Index Hospital Admission,$9169,$9213,$9676,45.85%,48.14%,47.66%,18,$31633.27,$5658.33,$4851.44,AL,Y,Emergency Department,83,747,Medicare hospital spending per patient (Medicare Spending per Beneficiary), 1.026836,Payment for heart attack patients,No Different than the National Average Payment,218,"$22,668","$20,930","$24,601",Value of Care Heart Attack measure,Average mortality and average payment,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10019,HELEN KELLER HOSPITAL,1 to 3 days Prior to Index Hospital Admission,$1,$5,$6,0%,0.03%,0.03%,13,$23733.69,$10071.23,$9118.30,AL,Yes,Heart Attack or Chest Pain,Not Available,Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary), 1.110292,Payment for hip/knee replacement patients,Greater than the National Average Payment,381,"$23,870","$22,998","$24,772",Value of Care hip/knee replacement measure,Better complications and higher payment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10021,DALE MEDICAL CENTER,1 through 30 days After Discharge from Index Hospital Admission,$159,$159,$122,1.08%,0.83%,0.6%,17,$17198.88,$10533.35,$9937.82,AL,Yes,Pregnancy and Delivery Care,Not Available,Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .951596,Payment for hip/knee replacement patients,No Different than the National Average Payment,38,"$23,141","$20,803","$25,712",Value of Care hip/knee replacement measure,Average complications and average payment,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
